sort,family_scientific,family_english,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,red_list,status_birdlife,water_bird,strict_water_bird,ADU,common_name,scientific_name,avibaseid,wikiDataID,iNaturalisttaxonID,IUCNtaxonID,ObservationorgID,GBIFID,Clements--code,Clements--rank,Clements--scientific_name,Clements--common_name,H&M--sort,,,,,
228,Scolopacidae,Sandpipers and Allies,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,264,Wood Sandpiper,Tringa glareola,8E67DC5F68BDF62C,Q18837,3888,22693247,76,2481713,woosan,species,Tringa glareola,Wood Sandpiper,065-007-003-011,,,,,
229,Scolopacidae,Sandpipers and Allies,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,272,Red-necked Phalarope,Phalaropus lobatus,E6F3BA54577746FB,Q206840,3959,22693490,253,5739290,renpha,species,Phalaropus lobatus,Red-necked Phalarope,065-008-002-001,,,,,
230,Scolopacidae,Sandpipers and Allies,,,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,Least Concern,Rare/Accidental,TRUE,TRUE,271,Grey Phalarope,Phalaropus fulicarius,18A1938091EEEA73,Q208335,73203,22693494,318,5229390,redpha1,species,Phalaropus fulicarius,Red Phalarope,065-008-002-002,,,,,
231,Turnicidae,Buttonquails and Quail-plover,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,196,Common Buttonquail,Turnix sylvaticus,0DA8BB90D5401FDB,Q18836,20887,22680500,70517,2475001,smabut2,species,Turnix sylvaticus,Small Buttonquail,066-001-001-001,,,,,
232,Turnicidae,Buttonquails and Quail-plover,,,,,TRUE,,,,,,,,,,,,,,,,,,,Least Concern,,,,4128,Black-rumped Buttonquail,Turnix hottentottus,0874B4D57071C31A,Q21350200,627610,,,6177730,hotbut3,species,Turnix nanus,Black-rumped Buttonquail,066-001-001-004,,,,,
233,Turnicidae,Buttonquails and Quail-plover,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1344,Quail-plover,Ortyxelos meiffrenii,B605A0497D887CDE,Q1274398,20930,22680603,70533,2474963,quail-1,species,Ortyxelos meiffrenii,Quail-plover,066-001-002-001,,,,,
234,Dromadidae,Crab-plover,TRUE,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,273,Crab-plover,Dromas ardeola,C3E33FEBDE75219B,Q213836,4616,22694081,,5229199,craplo1,species,Dromas ardeola,Crab-Plover,067-001-001-001,,,,,
235,Glareolidae,Coursers and Pratincoles,,,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,Least Concern,Rare/Accidental,,TRUE,2024,Cream-coloured Courser,Cursorius cursor,DE0A72A7FA1E6DB7,Q219199,4595,22735845,,2480740,crccou1,species,Cursorius cursor,Cream-colored Courser,068-002-001-001,,,,,
236,Glareolidae,Coursers and Pratincoles,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,TRUE,2026,Somali Courser,Cursorius somalensis,6091E70B24305957,Q1261239,98811,22732297,156926,4849822,somcou1,species,Cursorius somalensis,Somali Courser,068-002-001-002,,,,,
237,Glareolidae,Coursers and Pratincoles,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,TRUE,277,Temminck's Courser,Cursorius temminckii,7A841F8350F3E1C7,Q1063704,4593,22694120,,2480745,temcou1,species,Cursorius temminckii,Temminck's Courser,068-002-001-004,,,,,
238,Glareolidae,Coursers and Pratincoles,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,TRUE,278,Double-banded Courser,Rhinoptilus africanus,C130193B80227278,Q28123843,144498,22694091,,7342343,dobcou2,species,Smutsornis africanus,Double-banded Courser,068-001-001-001,,,,,
239,Glareolidae,Coursers and Pratincoles,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,TRUE,279,Heuglin's Courser,Rhinoptilus cinctus,29D50ED59DD2D381,Q1266895,4613,22694099,,2480737,thbcou1,species,Rhinoptilus cinctus,Three-banded Courser,068-001-001-002,,,,,
240,Glareolidae,Coursers and Pratincoles,TRUE,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,TRUE,280,Bronze-winged Courser,Rhinoptilus chalcopterus,F5145338630C717F,Q1271872,4614,22694095,,2480735,brwcou1,species,Rhinoptilus chalcopterus,Bronze-winged Courser,068-001-001-003,,,,,
241,Glareolidae,Coursers and Pratincoles,,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,281,Collared Pratincole,Glareola pratincola,D56ABB4EE468E9EF,Q330310,4604,22694127,883,2480757,colpra,species,Glareola pratincola,Collared Pratincole,068-003-002-001,,,,,
242,Glareolidae,Coursers and Pratincoles,,,,,,,,,,,,TRUE,,,,,,,,,,,,Near Threatened,Rare/Accidental,TRUE,TRUE,282,Black-winged Pratincole,Glareola nordmanni,E1F6A875C32C042D,Q695729,4605,22694136,885,2480758,blwpra1,species,Glareola nordmanni,Black-winged Pratincole,068-003-002-003,,,,,
243,Glareolidae,Coursers and Pratincoles,,,,,,,TRUE,,,,,,,,,,,,,,,,,Vulnerable,,TRUE,TRUE,898,Madagascar Pratincole,Glareola ocularis,AC0F25BBC27AE02A,Q1275482,4607,22694140,73029,2480754,madpra1,species,Glareola ocularis,Madagascar Pratincole,068-003-002-004,,,,,
244,Glareolidae,Coursers and Pratincoles,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,283,Rock Pratincole,Glareola nuchalis,95820ED140405D1F,Q1303318,4603,22694144,73030,2480756,rocpra1,species,Glareola nuchalis,Rock Pratincole,068-003-002-005,,,,,
245,Stercorariidae,Skuas,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,Least Concern,,,,285,Pomarine Skua,Stercorarius pomarinus,7CB8F5B711DE64D0,Q212767,4491,22694240,291,2481609,pomjae,species,Stercorarius pomarinus,Pomarine Jaeger,070-001-001-003,,,,,
246,Stercorariidae,Skuas,,,,,,,,,,,,,,,,,,,,,TRUE,,,Least Concern,Rare/Accidental,,,284,Arctic Skua,Stercorarius parasiticus,39086887E9EAFEB3,Q203053,4489,22694245,273,2481621,parjae,species,Stercorarius parasiticus,Parasitic Jaeger,070-001-001-002,,,,,
247,Stercorariidae,Skuas,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,Least Concern,Rare/Accidental,,,930,Long-tailed Skua,Stercorarius longicaudus,1D4464402EC9FD21,Q216921,4481,22694251,278,2481613,lotjae,species,Stercorarius longicaudus,Long-tailed Jaeger,070-001-001-001,,,,,
248,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,303,Brown Noddy,Anous stolidus,A070171E774B95B5,Q525717,4535,22694794,73097,2481113,brnnod,species,Anous stolidus,Brown Noddy,071-001-001-001,,,,,
249,Laridae,"Gulls, Terns and Skimmers",,,,,,TRUE,,,,,,,,,,,,,,,,,,Least Concern,Rare/Accidental,TRUE,TRUE,939,Lesser Noddy,Anous tenuirostris,03F9EB153E1DD50C,Q941644,4538,22694805,73099,2481112,lesnod1,species,Anous tenuirostris,Lesser Noddy,071-001-001-002,,,,,
250,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,Near Threatened,,TRUE,TRUE,306,African Skimmer ,Rynchops flavirostris ,907B1140134453B4,Q18766,4499,22694262,73040,2481208,afrski1,species,Rynchops flavirostris,African Skimmer,071-003-001-002,,,,,
251,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,288,Grey-headed Gull,Chroicocephalus cirrocephalus,6EB497FA1859864B,Q652348,144508,,,6065820,grhgul,species,Chroicocephalus cirrocephalus,Gray-hooded Gull,071-004-005-009,,,,,
252,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,933,Black-headed Gull,Chroicocephalus ridibundus,FB02DD9658CC1EC6,Q25634,144510,,138,6065824,bkhgul,species,Chroicocephalus ridibundus,Black-headed Gull,071-004-005-008,,,,,
253,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,1078,Slender-billed Gull,Chroicocephalus genei,27CE7132A1848BCD,Q391421,144501,,19286,6065810,slbgul1,species,Chroicocephalus genei,Slender-billed Gull,071-004-005-001,,,,,
254,Laridae,"Gulls, Terns and Skimmers",,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,2058,Sooty Gull,Ichthyaetus hemprichii,67D43542E9EBE903,Q589869,144520,,73050,3190463,soogul2,species,Ichthyaetus hemprichii,Sooty Gull,071-004-010-005,,,,,
255,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,Least Concern,Rare/Accidental,TRUE,TRUE,900,White-eyed Gull, Ichthyaetus leucophthalmus,A7F240E39F0AD5F9,Q912041,144519,,73049,3661224,whegul2,species,Ichthyaetus leucophthalmus,White-eyed Gull,071-004-010-004,,,,,
256,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,2062,Pallas’s Gull ,Ichthyaetus ichthyaetus,EF930CDC7CE618F7,Q476356,144521,,,2680976,gbhgul2,species,Ichthyaetus ichthyaetus,Pallas's Gull,071-004-010-006,,,,,
257,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,Least Concern,Rare/Accidental,TRUE,TRUE,2052,Common Gull,Larus canus,0C290EA653CA6A56,Q26427,4356,22694308,183,2481187,mewgul,species,Larus canus,Mew Gull,071-004-011-006,,,,,
258,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,Least Concern,Rare/Accidental,TRUE,TRUE,287,Kelp Gull,Larus dominicanus,E6536E4E904EF414,Q1127687,4388,22694329,73052,2481173,kelgul,species,Larus dominicanus,Kelp Gull,071-004-011-011,,,,,
259,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,4136,Lesser Black-backed Gull,Larus fuscus,2D52E3A509137804,Q27160,4381,22694373,131,2481174,lbbgul,species,Larus fuscus,Lesser Black-backed Gull,071-004-011-012,,,,,
259.1,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,Baltic Gull,Larus fuscus fuscus,49025D8B171EFAD7,Q27608895,515475,,935,7192415,lbbgul1,group (monotypic),Larus fuscus fuscus,Lesser Black-backed Gull (fuscus),071-004-011-012-003,,,,,
259.2,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,2042,Heuglin’s Gull,Larus (fuscus) heuglini ,D81703B3C82F9EB6,Q27608896,332965,,,5846433,lbbgul4,group (monotypic),Larus fuscus heuglini,Lesser Black-backed Gull (Heuglin's),071-004-011-012-004,,,,,
260,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,936,Bridled Tern,Onychoprion anaethetus,E6518B9D5C802F2A,Q28490,144527,22694730,1551,5789286,briter1,species,Onychoprion anaethetus,Bridled Tern,071-005-001-003,,,,,
261,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,295,Sooty Tern,Onychoprion fuscatus,3E7F825D03C0DC3E,Q28482,144525,22694740,73093,5789284,sooter1,species,Onychoprion fuscatus,Sooty Tern,071-005-001-002,,,,,
262,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Little Tern,Sternula albifrons,943CDEAC72EBBFA6,,,,,,y00662,slash,Sternula albifrons/saundersi,Little/Saunders's Tern,,,,,,
262.1,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,Rare/Accidental,TRUE,TRUE,299,Little Tern,Sternula (albifrons) albifrons,17310BF0FE9BAC8A,Q27074663,144529,22694656,31,5789279,litter1,species,Sternula albifrons,Little Tern,071-005-002-001,,,,,
262.2,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,TRUE,,,,,,,,,Least Concern,,TRUE,TRUE,2070,Saunders’s Tern,Sternula (albifrons) saundersi,4B21F4D8DBD4F42D,Q1265260,144534,22694666,,6065768,sauter2,species,Sternula saundersi,Saunders's Tern,071-005-002-002,,,,,
263,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,902,Gull-billed Tern,Gelochelidon nilotica,441918B5AE353C3B,Q18834,144536,62026481,368,2481263,gubter1,species,Gelochelidon nilotica,Gull-billed Tern,071-005-004-001,,,,,
264,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,290,Caspian Tern,Hydroprogne caspia,BC06BC0D1056BC7B,Q27129,144537,22694524,311,2481236,caster1,species,Hydroprogne caspia,Caspian Tern,071-005-005-001,,,,,
265,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,TRUE,,,,,,,,,,,Least Concern,,TRUE,TRUE,305,Whiskered Tern,Chlidonias hybrida,7AB4E42B260B5954,Q233616,62148,22694764,762,2481121,whiter2,species,Chlidonias hybrida,Whiskered Tern,071-005-007-002,,,,,
266,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,304,White-winged Black Tern,Chlidonias leucopterus,43CAAEE3B0D305D9,Q241753,4514,22694782,361,2481120,whwter,species,Chlidonias leucopterus,White-winged Tern,071-005-007-003,,,,,
267,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,Least Concern,Rare/Accidental,TRUE,TRUE,903,Black Tern,Chlidonias niger,115AF02DD58018FB,Q27215,4512,22694787,32,2481119,blkter,species,Chlidonias niger,Black Tern,071-005-007-004,,,,,
268,Laridae,"Gulls, Terns and Skimmers",TRUE,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,297,Lesser Crested Tern,Thalasseus bengalensis,D01CDECDCA736E26,Q18839,144543,22694561,73074,6065833,lecter2,species,Thalasseus bengalensis,Lesser Crested Tern,071-005-009-001,,,,,
269,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,296,Sandwich Tern,Thalasseus sandvicensis,F7504353640C1055,Q27547,144541,22694591,28,2481240,santer1,species,Thalasseus sandvicensis,Sandwich Tern,071-005-009-004,,,,,
270,Laridae,"Gulls, Terns and Skimmers",,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,298,Greater Crested (Swift) Tern, Thalasseus bergii,526978C4A16D3750,Q18866,144540,22694571,73075,5789283,grcter1,species,Thalasseus bergii,Great Crested Tern,071-005-009-006,,,,,
271,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,293,Roseate Tern,Sterna dougallii,74236837A4AFD042,Q321293,4436,22694601,240,5229249,roster,species,Sterna dougallii,Roseate Tern,071-005-008-002,,,,,
272,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,291,Common Tern,Sterna hirundo,4D2FF6F13790ED7E,Q18875,4450,22694623,29,5229227,comter,species,Sterna hirundo,Common Tern,071-005-008-006,,,,,
273,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,938,White-cheeked Tern,Sterna repressa,CF5C013D4B3FE57D,Q921533,4464,22694705,,5229267,whcter1,species,Sterna repressa,White-cheeked Tern,071-005-008-007,,,,,
274,Laridae,"Gulls, Terns and Skimmers",,,,,,,,,,,,,,,,,,,,,TRUE,,,Least Concern,Rare/Accidental,TRUE,TRUE,294,Arctic Tern ,Sterna paradisaea,BDC5CF80BE6CFC21,Q26800,4449,22694629,30,5229230,arcter,species,Sterna paradisaea,Arctic Tern,071-005-008-008,,,,,
275,Phaethontidae,Tropicbirds,,,,,,TRUE,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,,40,White-tailed Tropicbird,Phaethon lepturus,1D07B501FEAF0840,Q528117,4314,22696645,73397,2481364,whttro,species,Phaethon lepturus,White-tailed Tropicbird,021-001-001-003,,,,,
276,Oceanitidae,Southern Storm-petrels,,,,,,,,,,,,,,,,TRUE,,,,,,,,Least Concern,,,,33,Wilson’s Storm-petrel ,Oceanites oceanicus,D295D249BDB7E046,Q607024,4146,22698436,27032,5229419,wispet,species,Oceanites oceanicus,Wilson's Storm-Petrel,041-001-001-001,,,,,
277,Oceanitidae,Southern Storm-petrels,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,Least Concern,Rare/Accidental,,,36,Black-bellied Storm-Petrel,Fregetta tropica,ACE8EADE6CE42400,Q1273787,4172,22698459,73663,2481979,bbspet1,species,Fregetta tropica,Black-bellied Storm-Petrel,041-001-004-002,,,,,
278,Diomedeidae,Albatrosses,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,Least Concern,,,,8,Black-browed Albatross,Thalassarche melanophris,F9FCB9FF95FD3440,Q602598,144433,22698375,27237,2481410,bkbalb,species,Thalassarche melanophris,Black-browed Albatross,042-001-004-003,,,,,
279,Diomedeidae,Albatrosses,,,,,,,,,,,,,,,,TRUE,,,,,,,,Near Threatened,Rare/Accidental,,,4150,Shy Albatross,Thalassarche cauta,87797B4724F5DC9E,Q1262700,4088,22729604,73655,2481401,whcalb1,species,Thalassarche cauta,White-capped Albatross,042-001-004-005,,,,,
280,Hydrobatidae,Northern Storm-petrels,,,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,Vulnerable,Rare/Accidental,,,31,Leach’s Storm-petrel,Hydrobates leucorhous,C5FB15C6D112FE91,Q211986,4080,,343,2482012,lcspet,species,Oceanodroma leucorhoa,Leach's Storm-Petrel,043-002-001-009,,,,,
281,Procellariidae,Petrels and Shearwaters,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,Least Concern,Rare/Accidental,,,14,Cape Petrel,Daption capense,AAC2D6136C46A743,Q524740,4168,22697879,73581,2481545,cappet,species,Daption capense,Cape Petrel,044-001-004-001,,,,,
282,Procellariidae,Petrels and Shearwaters,,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,Least Concern,Rare/Accidental,,,22,Antarctic Prion,Pachyptila desolata,105C306C36627D87,Q276219,4164,22698114,73620,5229327,dovpri1,species,Pachyptila desolata,Antarctic Prion,044-001-007-003,,,,,
283,Procellariidae,Petrels and Shearwaters,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,Least Concern,Rare/Accidental,,,880,Slender-billed Prion,Pachyptila belcheri,0D885A80ADB81674,Q276187,4163,22698119,,5229320,slbpri1,species,Pachyptila belcheri,Slender-billed Prion,044-001-007-004,,,,,
284,Procellariidae,Petrels and Shearwaters,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,Vulnerable,Rare/Accidental,,,4137,White-chinned Petrel,Procellaria aequinoctialis,35EB45A0494AEE57,Q276206,4136,22698140,,2481495,whcpet1,species,Procellaria aequinoctialis,White-chinned Petrel,044-001-010-002,,,,,
285,Procellariidae,Petrels and Shearwaters,,,,,,TRUE,,,,,,,,,,,,,,,,,,Least Concern,Rare/Accidental,,,180,Wedge-tailed Shearwater,Ardenna pacifica,E94A7272C71031C6,Q27074601,475125,22698175,73630,2680976,wetshe,species,Ardenna pacifica,Wedge-tailed Shearwater,044-001-011-001,,,,,
286,Procellariidae,Petrels and Shearwaters,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,Near Threatened,Rare/Accidental,,,29,Sooty Shearwater,Ardenna grisea,1725B07D51A40D6A,Q27074603,502899,22698209,1388,8249990,sooshe,species,Ardenna grisea,Sooty Shearwater,044-001-011-004,,,,,
286.1,Procellariidae,Petrels and Shearwaters,,,,,,TRUE,,,,,,,,,,,,,,,,,,Least Concern,,,,28,Tropical Shearwater,Puffinus bailloni,6DA05B66DC30A0D9,Q10809607,144443,22734070,156877,127,troshe5,species,Puffinus bailloni,Tropical Shearwater,044-001-013-008,,,,,
287,Procellariidae,Petrels and Shearwaters,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,Near Threatened,Rare/Accidental,,,1011,Jouanin’s Petrel,Bulweria fallax,F501ED18B26262B3,Q129550,4132,22698136,,2481605,joupet,species,Bulweria fallax,Jouanin's Petrel,044-001-015-002,,,,,
288,Ciconiidae,Storks,,,,,,,,,TRUE,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,73,Marabou Stork,Leptoptilos crumenifer,03C0F97C496962D8,Q512737,201031,22697716,2020,2481946,marsto1,species,Leptoptilos crumenifer,Marabou Stork,045-001-001-002,,,,,
289,Ciconiidae,Storks,,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,76,Yellow-billed Stork,Mycteria ibis,4F92C8924C9382AA,Q655510,4744,22697654,18680,2481936,yebsto1,species,Mycteria ibis,Yellow-billed Stork,045-001-002-002,,,,,
290,Ciconiidae,Storks,,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,74,African Open-billed Stork,Anastomus lamelligerus,0F14ECE44F616F74,Q26902,4776,22697664,73545,5229411,afrope1,species,Anastomus lamelligerus,African Openbill,045-001-003-002,,,,,
291,Ciconiidae,Storks,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,79,Black Stork,Ciconia nigra,E2817DAE1B24B31E,Q25398,4736,22697669,362,2481909,blasto1,species,Ciconia nigra,Black Stork,045-001-004-001,,,,,
292,Ciconiidae,Storks,TRUE,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,78,Abdim's Stork,Ciconia abdimii,26CD03193C89F18B,Q308199,4732,22697673,,2481915,abdsto1,species,Ciconia abdimii,Abdim's Stork,045-001-004-002,,,,,
293,Ciconiidae,Storks,,,,,,,,,,,,,,,,,,,,,,,,Vulnerable,,TRUE,TRUE,77,Woolly-necked Stork,Ciconia episcopus,1782CCF69296E23F,Q44327,4738,22727255,,2481918,wonsto1,species,Ciconia episcopus,Woolly-necked Stork,045-001-004-003,,,,,
294,Ciconiidae,Storks,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,80,White Stork,Ciconia ciconia,28825494A08AFE5A,Q25352,4733,22697691,7,2481912,whisto1,species,Ciconia ciconia,White Stork,045-001-004-006,,,,,
295,Ciconiidae,Storks,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,75,Saddle-billed Stork,Ephippiorhynchus senegalensis,3D155653F484B84E,Q1219291,4754,22697706,,2481904,sabsto1,species,Ephippiorhynchus senegalensis,Saddle-billed Stork,045-001-006-002,,,,,
296,Pelecanidae,Pelicans,,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,42,Great White Pelican,Pelecanus onocrotalus,8BAFB01E85D7AF4B,Q199427,4327,22697590,841,2480350,grwpel1,species,Pelecanus onocrotalus,Great White Pelican,046-001-001-001,,,,,
297,Pelecanidae,Pelicans,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,41,Pink-backed Pelican,Pelecanus rufescens,8D24E93CF5DAD3FA,Q527830,4335,22697595,843,2480352,pibpel1,species,Pelecanus rufescens,Pink-backed Pelican,046-001-001-002,,,,,
298,Scopidae,Hamerkop,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,72,Hamerkop,Scopus umbretta,FC10F6ED31D29188,Q652151,3834,22697356,2025,5229154,hamerk1,species,Scopus umbretta,Hamerkop,047-001-001-001,,,,,
299,Balaenicipitidae,Shoebill,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,Vulnerable,Rare/Accidental,TRUE,TRUE,1030,Shoebill,Balaeniceps rex,47C7FDFD96162AC1,Q18700,4338,22697583,73529,2480347,shoebi1,species,Balaeniceps rex,Shoebill,048-001-001-001,,,,,
300,Ardeidae,"Herons, Egrets and Bitterns",,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,Least Concern,Rare/Accidental,TRUE,TRUE,71,Eurasian (Great) Bittern,Botaurus stellaris,0F42F11AC607C758,Q25709,5033,22697346,1,2480910,grebit1,species,Botaurus stellaris,Great Bittern,049-001-007-001,,,,,
301,Ardeidae,"Herons, Egrets and Bitterns",,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,Least Concern,,TRUE,TRUE,67,Little Bittern,Ixobrychus minutus,7AAD57ACA1C4ECA9,Q26129,204527,22735766,4,2480850,litbit1,species,Ixobrychus minutus,Little Bittern,049-001-008-002,,,,,
302,Ardeidae,"Herons, Egrets and Bitterns",,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,66,Dwarf Bittern,Ixobrychus sturmii,87EEBD3E5FE01CA2,Q888654,5004,22697327,73496,2480845,dwabit1,species,Ixobrychus sturmii,Dwarf Bittern,049-001-008-008,,,,,
303,Ardeidae,"Herons, Egrets and Bitterns",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,70,White-backed Night Heron,Gorsachius leuconotus,3C12AA44FDEE84C6,Q763338,5040,,,2480840,wbnher1,species,Gorsachius leuconotus,White-backed Night-Heron,049-001-010-004,,,,,
304,Ardeidae,"Herons, Egrets and Bitterns",,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,Least Concern,,TRUE,TRUE,69,Black-crowned Night Heron,Nycticorax nycticorax,6BB94D7EA4D041A8,Q126216,4981,22697211,5,2480863,bcnher,species,Nycticorax nycticorax,Black-crowned Night-Heron,049-001-011-001,,,,,
305,Ardeidae,"Herons, Egrets and Bitterns",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,63,Striated Heron,Butorides striata,36DF115BD3E2C1C1,Q270722,62528,22728182,73474,2480824,strher,species,Butorides striata,Striated Heron,049-001-013-003,,,,,
306,Ardeidae,"Herons, Egrets and Bitterns",,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,Least Concern,,TRUE,TRUE,62,Squacco Heron,Ardeola ralloides,CE73EBD7A90E9FCF,Q191394,4994,22697123,309,2480906,squher1,species,Ardeola ralloides,Squacco Heron,049-001-014-001,,,,,
307,Ardeidae,"Herons, Egrets and Bitterns",,,,,,,TRUE,,,,,,,,,,,,,,,,,Endangered,,TRUE,TRUE,883,Madagascar Pond Heron,Ardeola idae,EA2C460AEFF0DF58,Q498169,4992,22697143,73472,2480903,mapher1,species,Ardeola idae,Madagascar Pond-Heron,049-001-014-005,,,,,
308,Ardeidae,"Herons, Egrets and Bitterns",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,65,Rufous-bellied Heron,Ardeola rufiventris,AEB2DA9B7BF26EF4,Q498158,4995,22697150,,2480902,rubher2,species,Ardeola rufiventris,Rufous-bellied Heron,049-001-014-006,,,,,
